formattedAddress,googleMapsUri,airport,distanceFromFlightpath,averageAltitude,distanceFromAirport,path_id,latitude,longitude,displayName,editorialSummary
"1604 Little Rock Rd, Charlotte, NC 28214, USA",https://maps.google.com/?cid=1373147176936768441,CLT,0.22002799349428578,590.9565217391304,2.9796751669869366,CLT1,35.257125099999996,-80.94284800000001,Robert L. Smith Park,"Forest park along Paw Creek offering a playground & a walking trail, plus soccer fields & restrooms."
"1102 Ashford St, Charlotte, NC 28214, USA",https://maps.google.com/?cid=6040938198849162924,CLT,0.2921137710367567,715.4444444444445,3.40645189876301,CLT1,35.2632859,-80.9446586,Forest Pawtuckett Park,
"3413 Mt Holly-Huntersville Rd, Charlotte, NC 28216, USA",https://maps.google.com/?cid=8621662264129144101,CLT,0.23665089283703003,1944.1538461538462,7.619401023796661,CLT1,35.3241739,-80.94892279999999,Cooks Memorial Presbyterian Church,
"100 Coulwood Park Dr, Charlotte, NC 28214, USA",https://maps.google.com/?cid=4304077554145496633,CLT,0.12059951687683257,1584.0689655172414,6.39690710975242,CLT1,35.306568,-80.94104229999999,Coulwood Park,
"7800 Wilkinson Blvd, Charlotte, NC 28214, USA",https://maps.google.com/?cid=12086635792060658223,CLT,0.20729663464824885,288.9259259259259,2.5493145110326703,CLT0,35.241984699999996,-80.9725375,Fieldridge Acres,
"910 Killian Rd, Stanley, NC 28164, USA",https://maps.google.com/?cid=6644914536745413844,CLT,0.19543731239739187,3098.1111111111113,12.09720391097696,CLT0,35.385762199999995,-80.98468849999999,Lucia Access Area,
"9400 Bellhaven Blvd, Charlotte, NC 28214, USA",https://maps.google.com/?cid=5935689026797186104,CLT,0.18251495178700583,1814.5925925925926,7.188418349558766,CLT1,35.3180237,-80.9409289,Shuffletown Dog Park,
"Charlotte, NC 28214, USA",https://maps.google.com/?cid=8014414969725867654,CLT,0.11437006220270718,626.2424242424242,3.125143727987768,CLT1,35.2589608,-80.9370565,Paw Creek Greenway,
"9530 Bellhaven Blvd, Charlotte, NC 28216, USA",https://maps.google.com/?cid=156250598300686673,CLT,0.012251586652981424,1773.7027027027027,7.049257331240408,CLT1,35.3160206,-80.94422329999999,Shuffletown Park,
