path_id,latitude,longitude
MCO0,28.662032241016277,-81.32931
MCO0,28.657094545618747,-81.32925357681641
MCO0,28.65215684627765,-81.32919727389637
MCO0,28.64721914558322,-81.32914109049965
MCO0,28.642281444546825,-81.32908502587684
MCO0,28.637343741233053,-81.3290290792547
MCO0,28.63240603653685,-81.32897324989963
MCO0,28.627468331949785,-81.32891753709028
MCO0,28.622530623935745,-81.32886194005944
MCO0,28.61759291523049,-81.32880645811554
MCO0,28.612655206932686,-81.32875109055735
MCO0,28.607717496473924,-81.32869583665
MCO0,28.602779784319864,-81.32864069569935
MCO0,28.597842070921615,-81.32858566701685
MCO0,28.592904356337385,-81.32853074991955
MCO0,28.587966640632658,-81.32847594373007
MCO0,28.583028923771053,-81.32842124777645
MCO0,28.578091205650708,-81.3283666613922
MCO0,28.573153485813236,-81.32831218391618
MCO0,28.568215764011256,-81.3282578146926
MCO0,28.563278042638558,-81.32820355310318
MCO0,28.558340320807474,-81.32814939849939
MCO0,28.55340259588411,-81.3280953502209
MCO0,28.548464870451426,-81.32804140766987
MCO0,28.543527144902328,-81.32798757022981
MCO0,28.538589415795286,-81.32793383725081
MCO0,28.533651688667305,-81.32788020818336
MCO0,28.528713957850414,-81.32782668236575
MCO0,28.52377622731001,-81.3277732592433
MCO0,28.518838495889213,-81.32771993821343
MCO0,28.51390076136886,-81.32766671866712
MCO0,28.508963027517893,-81.32761360006644
MCO0,28.504025293128507,-81.32756058182383
MCO0,28.49908755684737,-81.32750766335558
MCO0,28.494149819001905,-81.32745484410339
MCO0,28.48921207999956,-81.3274021235131
MCO0,28.484274340095,-81.32734950103472
MCO0,28.479336599324597,-81.32729697612233
MCO0,28.474398857921187,-81.32724454823403
MCO0,28.46946111573925,-81.32719221683197
MCO0,28.464523372582335,-81.32713998138229
MCO0,28.459585628334025,-81.32708784135498
MCO0,28.454647882608697,-81.32703579622404
MCO0,28.44971013506438,-81.32698384546725
MCO0,28.44477238685795,-81.32693198858435
MCO1,28.602712788480858,-81.284195
MCO1,28.597775186419312,-81.28414432693685
MCO1,28.59283758389938,-81.28409370221573
MCO1,28.587899980899238,-81.28404312569734
MCO1,28.582962377324293,-81.28399259724293
MCO1,28.578024773196375,-81.28394211671429
MCO1,28.57308716836269,-81.2838916839737
MCO1,28.56814956283779,-81.28384129888492
MCO1,28.56321195770579,-81.28379096132271
MCO1,28.558274351700675,-81.2837406711401
MCO1,28.553336744720582,-81.2836904282015
MCO1,28.54839913790056,-81.28364023238379
MCO1,28.543461530469358,-81.28359008354732
MCO1,28.538523921954038,-81.2835399815537
MCO1,28.533586314035347,-81.28348992628881
MCO1,28.52864870459598,-81.28343991760042
MCO1,28.523711095607723,-81.28338995537646
MCO1,28.518773485237034,-81.2833400394698
MCO1,28.513835875368386,-81.28329016976869
MCO1,28.50889826402272,-81.28324034612578
MCO1,28.503960653157264,-81.28319056843165
MCO1,28.49902304133866,-81.28314083654467
MCO1,28.494085428763356,-81.28309115033919
MCO1,28.48914781655185,-81.28304150970068
MCO1,28.484210203387192,-81.28299191449024
MCO1,28.479272589465836,-81.28294236458379
MCO1,28.47433497547172,-81.28289285986426
MCO1,28.469397361281153,-81.28284340020528
MCO1,28.46445974638482,-81.28279398547939
MCO1,28.459522130928235,-81.28274461556431
MCO1,28.454584514976887,-81.28269529033821
MCO1,28.4496468985526,-81.2826460096797
MCO1,28.44470928168448,-81.28259677346783
MCO2,28.33467375487089,-81.358396
MCO2,28.33935002423823,-81.35682642388086
MCO2,28.343953786417842,-81.3550561417434
MCO2,28.348451460711658,-81.35303211912314
MCO2,28.3527924567461,-81.35069198319813
MCO2,28.356912915594876,-81.34798308663485
MCO2,28.360773453488946,-81.34491454149786
MCO2,28.364445514045656,-81.341620992141
MCO2,28.368135693483055,-81.33834799121797
MCO2,28.37203549966216,-81.33532970934685
MCO2,28.376193525269628,-81.33267876422317
MCO2,28.380561917088926,-81.33038998581594
MCO2,28.385077857412398,-81.32840696192574
MCO2,28.38969372585416,-81.32666831587328
MCO2,28.394378107972443,-81.32512310734147
MCO2,28.399110719561577,-81.32373233304155
MCO2,28.40387837588787,-81.32246665451244
MCO2,28.408672224730253,-81.32130393227737
MCO3,28.41004066169262,-81.296297
MCO3,28.405129134655,-81.29582429007714
MCO3,28.400223791599274,-81.29529307310058
MCO3,28.395327791571617,-81.29468137660199
MCO3,28.39044824242592,-81.29395041826973
MCO3,28.385603353381157,-81.29301986628494
MCO3,28.380862042307854,-81.29166806569009
MCO3,28.37695014476776,-81.28884950634453
MCO3,28.37465487420559,-81.28462704597898
MCO3,28.370133504271507,-81.28270488985956
MCO3,28.365330800414085,-81.28158050114348
