path_id,latitude,longitude
GRU0,-23.432532110622105,-46.463467
GRU0,-23.431292780097124,-46.45889999734444
GRU0,-23.430053844198255,-46.454332887634074
GRU0,-23.428815279138803,-46.44976567735361
GRU0,-23.42757706070779,-46.44519837308584
GRU0,-23.42633916427053,-46.4406309815159
GRU0,-23.42510156478886,-46.43606350948434
GRU0,-23.423864236797954,-46.43149596390728
GRU0,-23.42262715441575,-46.42692835179356
GRU0,-23.421390291353646,-46.42236068028028
GRU0,-23.420153620915585,-46.417792956618904
GRU0,-23.418917115993054,-46.41322518815333
GRU0,-23.417680749070314,-46.40865738232258
GRU0,-23.416444492235087,-46.40408954669872
GRU0,-23.41520831717105,-46.3995216889478
GRU0,-23.413972195161932,-46.394953816838644
GRU0,-23.4127360970964,-46.39038593824848
GRU0,-23.411499993470102,-46.38581806116444
GRU0,-23.410263854385335,-46.38125019367397
GRU0,-23.409027649556947,-46.376682343975745
GRU0,-23.407791348314845,-46.37211452037603
GRU0,-23.406554919599216,-46.367546731275766
GRU0,-23.40531833197167,-46.36297898518651
GRU0,-23.404081553619335,-46.35841129074648
GRU0,-23.402844552345982,-46.35384365667305
GRU0,-23.401607295580902,-46.34927609179049
GRU0,-23.400369750384584,-46.34470860503679
GRU0,-23.399131883459518,-46.34014120549687
GRU0,-23.39789366112052,-46.33557390228639
GRU0,-23.39665504932941,-46.33100670466256
GRU0,-23.39541601369183,-46.326439622006305
GRU0,-23.394176519457233,-46.3218726638181
GRU0,-23.392936531504688,-46.317305839640696
GRU0,-23.39169601436822,-46.312739159161566
GRU0,-23.390454932244666,-46.30817263221458
GRU0,-23.38921324897308,-46.30360626870726
GRU0,-23.387970928040318,-46.29904007861988
GRU0,-23.38672793260116,-46.29447407207482
GRU0,-23.385484225489336,-46.2899082593675
GRU0,-23.38423976917784,-46.28534265081037
GRU0,-23.38299452581066,-46.28077725683051
GRU0,-23.38174845720789,-46.27621208799107
GRU1,-23.45185243524611,-46.548159
GRU1,-23.45061316015199,-46.54359126779562
GRU1,-23.449361856561154,-46.53902681416279
GRU1,-23.4481063389685,-46.53446351753652
GRU1,-23.446852762252092,-46.529899686844836
GRU1,-23.44560567336157,-46.52533408021235
GRU1,-23.444368011085317,-46.52076590965991
GRU1,-23.443141111638397,-46.51619483621459
GRU1,-23.441924704704434,-46.5116209594316
GRU1,-23.44071689271368,-46.507044805133546
GRU1,-23.439514147816226,-46.5024673161261
GRU1,-23.43831131560728,-46.49788985012237
GRU1,-23.437101636780426,-46.49331418936669
GRU1,-23.435876798816025,-46.48874256588539
GRU1,-23.43462701351382,-46.48417770516411
GRU2,-23.431089296980815,-46.484257
