path_id,coefficients,max_lat,max_long,min_lat,min_long
LAX0,"[ 7.74562043e-37 -6.84648674e-38 -5.69807875e-33  8.99686437e-31
 -9.63412748e-29  7.53415809e-27 -2.86999136e-25 -3.86375902e-23
  1.17854765e-20 -1.95804966e-18  2.55019215e-16 -2.74499048e-14
  2.31817882e-12 -1.07323902e-10 -1.08544408e-08  4.03280653e-06
 -7.23624239e-04  9.47316971e-02 -8.41306126e+00  1.28711764e+00
  2.23460514e+05]",33.959037672088016,-118.169846,33.937727759126574,-118.379459
LAX1,"[-1.77127529e-36  8.39066527e-35  1.04623795e-33 -1.01169700e-30
  1.82163864e-28 -2.46138095e-26  2.84637563e-24 -2.88353901e-22
  2.47699740e-20 -1.53788029e-18 -1.33517676e-20  2.15723330e-14
 -4.87282429e-12  7.95576840e-10 -1.10142354e-07  1.33581986e-05
 -1.38655274e-03  1.07999093e-01 -1.56534737e+00 -1.76224357e+03
  5.21729656e+05]",33.93792415439384,-118.405323,33.92010396462865,-118.477684
LAX2,"[ 2.92499127e-39 -1.38813728e-37 -1.67063034e-36  1.66164716e-33
 -2.99636799e-31  4.05148279e-29 -4.68851829e-27  4.75508716e-25
 -4.09425214e-23  2.56047552e-21 -4.48994692e-21 -3.48633710e-17
  7.93583704e-15 -1.29942326e-12  1.80264630e-10 -2.19138249e-08
  2.28372044e-06 -1.79824970e-04  3.14367513e-03  2.78081523e+00
 -8.36304054e+02]",33.9601294282528,-118.304481,33.95042894376547,-118.399372
LAX3,"[ 5.52833434e-38 -2.61684036e-36 -3.23422137e-35  3.14289309e-32
 -5.65422230e-30  7.63203389e-28 -8.81651135e-26  8.92272298e-24
 -7.65845974e-22  4.75452419e-20 -1.24130702e-20 -6.62357190e-16
  1.49606923e-13 -2.44067648e-11  3.37575822e-09 -4.09022791e-07
  4.24195926e-05 -3.30301383e-03  4.85898453e-02  5.35486118e+01
 -1.58534907e+04]",33.96614414315445,-118.245621,33.96037540469297,-118.302212
LAX4,"[ 1.97227144e-38 -9.32174135e-37 -1.15540123e-35  1.11766657e-32
 -2.00784843e-30  2.70658256e-28 -3.12256952e-26  3.15607226e-24
 -2.70529157e-22  1.67705073e-20 -3.54186851e-21 -2.33245317e-16
  5.26078814e-14 -8.57147066e-12  1.18410461e-09 -1.43308039e-07
  1.48476162e-05 -1.15555206e-03  1.72266062e-02  1.86159508e+01
 -5.51054375e+03]",33.96626824636587,-118.097142,33.95956580492566,-118.163967
LAX5,"[ 3.22707143e-37 -1.52826246e-35 -1.91556385e-34  1.84471015e-31
 -3.32087748e-29  4.48680787e-27 -5.18831722e-25  5.25564168e-23
 -4.51386256e-21  2.80087517e-19  4.36587759e-20 -3.93879949e-15
  8.89193404e-13 -1.45152550e-10  2.00939874e-08 -2.43692949e-06
  2.52938808e-04 -1.96995111e-02  2.84906438e-01  3.21635924e+02
 -9.52111021e+04]",33.947999831143534,-118.42264,33.944014787324704,-118.4622
