path_id,latitude,longitude
SYD0,-33.95837146238773,151.188909
SYD0,-33.96351648843847,151.18986564629387
SYD1,-33.89848691225052,151.175003
SYD1,-33.9035471228417,151.17633883383297
SYD1,-33.90860863903072,151.17766971349778
SYD1,-33.91367139504291,151.17899586952043
SYD1,-33.91873532743193,151.18031752558062
SYD1,-33.9238003755454,151.181634898713
SYD1,-33.92886648140848,151.18294819994432
SYD1,-33.93393358797766,151.18425763457896
SYD1,-33.93900164042134,151.18556340261375
SYD2,-33.87241322756745,151.156869
SYD2,-33.87748104066122,151.15817071204958
SYD2,-33.88254849414807,151.1594738266432
SYD2,-33.88761553121731,151.16077855546598
SYD2,-33.89268209738657,151.16208511286413
SYD2,-33.89774813584518,151.16339371608137
SYD2,-33.902813587803394,151.16470458577155
SYD2,-33.90787839528639,151.16601794631478
SYD2,-33.912942495779134,151.16733402620747
SYD2,-33.91800582851283,151.16865305849592
SYD3,-33.86093498021364,151.165253
SYD3,-33.86598690599203,151.1666095995183
SYD3,-33.871044512838125,151.16794481979358
SYD3,-33.87610603868961,151.16926515368291
SYD3,-33.88116990029812,151.17057644269076
SYD3,-33.88623470067978,151.1718841533144
SYD3,-33.89129903540015,151.17319360877582
SYD4,-33.95644976263793,151.178312
SYD4,-33.9615445126401,151.17951803495978
SYD4,-33.96661545459938,151.1808204011438
SYD4,-33.971653086668084,151.18224592963344
SYD5,-33.96280924230814,151.191891
SYD5,-33.96792232990265,151.19301972260072
SYD5,-33.97298876941204,151.1943410696944
SYD5,-33.977962262928486,151.1959746322562
SYD5,-33.98267678171396,151.19823340724716
SYD6,-33.79240185394883,151.136156
SYD6,-33.797463497146964,151.13745810834618
SYD6,-33.802524445578456,151.13876294518823
SYD6,-33.80758542753756,151.14006761764705
SYD6,-33.81264719925821,151.1413692355351
SYD6,-33.8177104704082,151.14266497348007
SYD6,-33.822775941342115,151.14395212938203
SYD7,-33.843013882637024,151.149203
SYD7,-33.84807351976633,151.1505229036786
SYD7,-33.85313258692622,151.15184502439715
SYD7,-33.8581933863461,151.1531604498347
SYD7,-33.863258112221956,151.1544606959582
