path_id,latitude,longitude
LIM0,-11.962509018099809,-77.143651
LIM1,-11.89703412516974,-77.175986
LIM1,-11.900992104783654,-77.17397946358624
LIM1,-11.904971657786518,-77.17201599312203
LIM1,-11.908960308413953,-77.17007105158169
LIM1,-11.912947045406327,-77.16812219383672
LIM1,-11.916920567164198,-77.16614656594004
LIM2,-11.926468492994218,-77.161354
LIM2,-11.930474455033846,-77.15944465434184
LIM3,-11.870479327626526,-77.189091
LIM3,-11.874405326321721,-77.1870243432143
LIM3,-11.878389686346054,-77.18507189436066
LIM3,-11.882387100718915,-77.18314620699066
LIM3,-11.88636011723429,-77.18117087430498
LIM4,-12.03463363647461,-77.107986
LIM4,-12.038724806159735,-77.10626634475996
LIM4,-12.04261802136898,-77.1041358292462
LIM4,-12.046411827206612,-77.10182990749271
LIM5,-11.944835356534895,-77.15218
LIM5,-11.94883859247966,-77.15028897907692
LIM6,-12.0679751932621,-77.091506
LIM6,-12.07168746739626,-77.08909224294582
LIM6,-12.075667843222618,-77.08712499390636
LIM6,-12.079621605575085,-77.08510597355334
LIM7,-11.847027212381363,-77.20089
LIM7,-11.85086216032505,-77.19866706557762
LIM7,-11.854843717068434,-77.19671016704952
